NomFestival,Envergure,Region,Departement,Commune,CodePostal,Discipline,PeriodeFestival,GeocodageXY
Chien à Plumes,,Grand Est,Haute-Marne,Villegusien,52190,Musique,Saison (21 juin - 5 septembre),"47.7309169271, 5.31298003747"
Blues en mars,Intercommunale,Hauts-de-France,Nord,Wattrelos,59150,Musique,Avant-saison (1er janvier - 20 juin),"50.7056367285, 3.21628221056"
Nature Ain,,Auvergne-Rhône-Alpes,Ain,Hauteville-Lompnès,1110,Pluridisciplinaire,Avant-saison (1er janvier - 20 juin),"45.9696520061, 5.57627261783"
Rencontres poétiques,,Hauts-de-France,Aisne,Château-Thierry,2400,"Livre, littérature",Avant-saison (1er janvier - 20 juin),"49.0564070801, 3.38160004843"
Les nuits d'Istres,Intercommunale,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Istres,13800,Musique,Saison (21 juin - 5 septembre),"43.5502689105, 4.9511813524"
Les musicales de février,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,La Ciotat,13600,Musique,Avant-saison (1er janvier - 20 juin),"43.1926410861, 5.61318955778"
Les rocatines,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,La Roque-D'Anthéron,13640,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"43.7176409517, 5.30157633559"
Belle & toile,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Marseille,13003,"Cinéma, audiovisuel",Saison (21 juin - 5 septembre),"43.296346, 5.369889"
Les Heures Musicales de l'Abbaye de Lessay,,Normandie,Manche,Lessay,50430,Musique,Saison (21 juin - 5 septembre),"49.2167143742, -1.52478862014"
La fabrique du livre,Intercommunale,Auvergne-Rhône-Alpes,Métropole de Lyon,Lyon,69001,"Livre, littérature",Avant-saison (1er janvier - 20 juin),"46.0459851256, 4.42169818269"
La Grande Côte en solitaire,,Auvergne-Rhône-Alpes,Métropole de Lyon,Lyon,69001,Pluridisciplinaire,Avant-saison (1er janvier - 20 juin),"45.6988993834, 4.67145765319"
Ma ville est tango,,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,Menton,6500,Musique,Après-saison (6 septembre - 31 décembre),"43.7908233727, 7.49365612374"
Montagne et Musique,,Île-de-France,Essonne,Palaiseau,91120,Pluridisciplinaire,Après-saison (6 septembre - 31 décembre),"48.7146765876, 2.22881488083"
Africolor,,Île-de-France,Paris,Paris,75010,Musique,Après-saison (6 septembre - 31 décembre),"48.8760285569, 2.36111290456"
Arabofolies,,Île-de-France,Paris,Paris,75013,Musique,Avant-saison (1er janvier - 20 juin),"48.859, 2.347"
Jazz Métis,,Île-de-France,Seine-Saint-Denis,Montreuil,93100,Musique,Après-saison (6 septembre - 31 décembre),"48.8633175054, 2.44816211857"
Rock This Town,,Nouvelle-Aquitaine,Pyrénées-Atlantiques,Pau,64000,Musique,Avant-saison (1er janvier - 20 juin),"43.3200189773, -0.350337918181"
Faltazi,,Bretagne,Finistère,Quimper,29000,"Cinéma, audiovisuel",Avant-saison (1er janvier - 20 juin),"47.9971425162, -4.09111944455"
Camping,,Île-de-France,Seine-Saint-Denis,Pantin,93500,Spectacle vivant,Saison (21 juin - 5 septembre),"48.8983093876, 2.40872147475"
